account_id,account_name,industry,sub_industry,matched_name,matched_industry,fees_inc_vat,revenue,tickets,transactions,last_txn
17720.0,Call to Stage Theatre Company,Theatres,,True,True,493.95,8622.0,412,259,2026-02-07
1071.0,Temple Ewell Players,Theatres,AMDRAM,True,True,488.65,7343.0,826,308,2026-05-24
5256.0,Flies on the wall,Theatres,,False,True,471.12,7175.4,760,388,2026-05-25
870.0,Rose Theatre Trust,Theatres,Venue,True,True,454.58,6622.9,816,773,2026-05-11
1971.0,Reed's School Drama,Education,Independent School - Senior,True,False,451.0,7337.0,1053,508,2026-05-12
6353.0,DADADA,Theatres,,False,True,434.95,7100.0,513,273,2026-05-11
4548.0,Wolverton Gilbert and Sullivan Society,Theatres,AMDRAM,False,True,423.85,6954.0,541,295,2026-05-19
230.0,Thingwall Players,Theatres,AMDRAM,True,True,421.15,6320.0,695,283,2026-03-21
9108.0,Actonians Drama Group,Theatres,,True,True,413.0,6421.0,661,286,2026-05-16
10537.0,Teddington Theatre Club,Theatres,,True,True,385.5,9306.0,506,524,2025-12-23
7738.0,Bratton Jubilee Players,Theatres,,True,True,375.05,6004.0,505,207,2026-05-09
18206.0,Theatre on Foot,Theatres,,True,True,369.65,5929.0,499,211,2026-05-18
8687.0,VSMT Fundraising Project,Theatres,,False,True,369.05,6340.0,364,137,2025-10-17
5521.0,Q2 Players,Theatres,,True,True,365.35,5918.0,509,298,2026-04-26
17069.0,First Frame Productions LTD,Theatres,,True,True,358.21,6972.2,64,58,2026-05-14
7244.0,MarchesMusical,Education,State School - Secondary,True,False,355.0,4934.0,724,284,2026-02-12
7284.0,Bartholomew Players,Theatres,,True,True,353.25,5796.0,414,201,2026-05-16
10691.0,Productions,Education,Independent School - Senior,True,False,348.45,4962.0,669,283,2026-03-27
5717.0,Cherrystars,Theatres,,False,True,345.25,5996.0,298,153,2026-05-25
8755.0,Vics School of Musical Theatre (VSI 2023),Theatres,,True,True,337.4,5184.5,532,174,2026-05-25
1646.0,PrestonOperaTicketing,Music,,True,False,332.9,5626.0,361,188,2026-05-25
14479.0,Cast Theatre Company,Theatres,,True,True,329.71,5100.0,539,191,2026-05-23
4345.0,Compton Players,Theatres,AMDRAM,True,True,327.8,5170.0,526,222,2026-04-24
17315.0,Send Amateur Dramatic Society,Theatres,AMDRAM,True,True,309.05,4738.0,481,181,2026-05-14
11810.0,CATS,Theatres,,False,True,300.12,4762.0,505,210,2026-05-09
1446.0,Dramarama,Education,,True,False,299.9,4312.0,570,218,2026-05-10
413.0,Fylde Coast Youth Theatre,Theatres,,True,True,296.5,4877.0,351,149,2026-05-23
9933.0,Nouveau Theatre School,Theatres,,True,True,287.15,4522.0,399,152,2025-11-27
4104.0,Kendal Community Theatre,Theatres,,True,True,277.95,4347.0,419,209,2026-05-25
249.0,Goring Gap Players,Theatres,,True,True,264.36,4345.0,311,152,2026-04-17
11378.0,Star Stage and Screen Hub,Theatres,,True,True,260.16,4239.0,314,139,2026-05-22
9671.0,BYSD & Performing Arts,Theatres,,True,True,257.2,3626.0,506,176,2026-05-25
18747.0,BEES,Theatres,,False,True,255.35,4304.0,285,101,2026-03-14
16172.0,Masque Players of West Wycombe,Theatres,AMDRAM,True,True,246.45,3834.0,435,179,2026-03-28
7059.0,Grasmere Players,Theatres,,True,True,236.55,3720.0,337,145,2026-05-25
53.0,Grange Drama,Community,Museum,True,False,236.4,3717.0,334,160,2026-04-25
6514.0,Eccleshall Community Amateur Dramatics,Theatres,AMDRAM,True,True,233.4,3690.0,313,92,2026-01-04
16347.0,Dunsfold Amateur Dramatic Society,Theatres,AMDRAM,True,True,233.35,4435.0,264,131,2025-11-22
5109.0,Storth Entertainers,Theatres,AMDRAM,False,True,229.05,3499.5,357,117,2026-03-12
12062.0,Soberton Players,Theatres,,True,True,218.49,3484.8,291,111,2026-03-24
7712.0,CAOS Musical Society,Theatres,,True,True,215.15,3544.0,251,101,2026-05-24
13294.0,Matinee Theatre School,Theatres,,True,True,214.5,1530.0,295,73,2025-11-25
16384.0,Tregony Clockhouse Players,Theatres,Venue,True,True,211.0,3110.5,425,153,2026-02-21
862.0,Ten64 Productions,Music,,True,False,210.25,3401.0,264,113,2026-05-13
12791.0,Rangamanch uk,Theatres,Cultural,False,True,206.72,3495.0,204,113,2026-05-25
5999.0,Westwell Players,Theatres,AMDRAM,True,True,205.65,3174.0,345,133,2026-04-25
