account_id,account_name,industry,sub_industry,fees_inc_vat,revenue,tickets,transactions,last_boxoffice_txn
1982.0,Let Me Sing,Music,Choir,4.35,135.0,9,5,2026-05-18
17372.0,Terror Management,,,4.2,66.0,6,2,2026-03-28
17754.0,Unified Sports Centre Limited,Sporting Club,Gymnastics,4.05,32.0,8,37,2026-02-10
8525.0,BASINGSTOKE GANESH UTSAV 2025,Community,Church,4.0,50.0,12,5,2025-08-31
14979.0,Stone Choral Society,Music,Choir,3.9,390.0,26,17,2025-07-05
15295.0,TruGrit,Music,,3.9,60.0,6,3,2026-04-04
15419.0,Sennybridge Show,Agriculture,Agricultural/County Show,3.9,229.0,25,15,2025-10-06
16183.0,October8UKPremiere,Event Organiser,Film & TV,3.9,60.0,6,3,2025-08-31
10537.0,Teddington Theatre Club,Theatres,,3.75,72.0,5,5,2025-12-17
17335.0,Georgian Gardens PTA,Education,PTA,3.73,62.5,13,5,2025-11-07
19619.0,Richard Challoner School,Education,,3.6,204.0,24,16,2026-04-18
14205.0,Ely City Military Band Limited,Music,Music,3.6,60.0,4,3,2025-10-25
15439.0,Hotwells Primary PTA,Education,PTA,3.5,45.0,10,9,2025-06-07
4412.0,Newcastle Bach Choir Society,Music,Choir,3.45,506.0,23,5,2025-11-10
1275.0,Hallfield School,Education,Independent School - Senior,3.35,55.0,5,3,2026-05-14
11981.0,Mayflower High School Performance Events,Education,State School - Secondary,3.3,48.0,6,3,2025-07-04
16457.0,Hanul Domnesc @ Rosie Malones,Business,,3.3,60.0,2,1,2025-09-11
13048.0,Cappella Newcastle,Music,,3.3,290.0,23,9,2025-12-06
16577.0,Alcester Day Care,Education,Nursery,3.25,53.0,2,3,2025-10-13
7399.0,Wigan Council,Council / Gov,,3.25,35.0,10,5,2026-01-23
15861.0,Hooked On Harmony,Music,Venue,3.15,56.0,5,6,2025-09-20
17850.0,Border Concert Band,Music,,2.88,60.5,7,5,2026-02-19
5728.0,"Queen's College, Taunton",Education,Independent School - Senior,2.8,35.0,7,5,2025-06-23
323.0,JFS School,Education,State School - Secondary,2.6,40.0,4,2,2025-11-30
7024.0,61st Croydon Scouts,Community,Scout Groups,2.58,27.5,8,5,2026-02-07
5366.0,Friends Of Comberbach School (FoCs),Education,PTA,2.55,45.0,5,3,2025-07-12
14105.0,Edinburgh &#39;Open House&#39; Ceilidh Events,Business,Music,2.55,33.0,3,4,2025-08-06
15690.0,Brighton Philharmonic Orchestra,Music,,2.55,82.0,8,10,2026-05-07
19315.0,Moth Coffi,Community,Club/Group,2.45,65.0,12,14,2026-04-02
17945.0,The Sovereign Hospitaller Order Of Saint John Of Jerusalem,Community,Religious,2.4,30.0,6,3,2026-04-26
19051.0,Jazz in the Sahara,Music,Fundraiser,2.35,35.0,4,3,2026-04-24
16335.0,Headline Music,Music,,2.3,40.0,2,2,2025-09-20
18678.0,a dumb production company,Theatres,,2.25,30.0,5,5,2026-04-29
15109.0,Cumbria Yoga Foundation,Non Profit,Health & Wellbeing,2.25,24.0,3,3,2025-06-21
4548.0,Wolverton Gilbert and Sullivan Society,Theatres,AMDRAM,2.25,52.0,3,3,2025-11-07
12240.0,Resourceful Community Scrapstore,Charity,,2.18,55.5,12,6,2025-09-07
12088.0,SGS Edinburgh,Associations,,2.05,23.0,6,4,2025-06-15
15585.0,Lewis Girls’ School,Education,Independent School - Senior,2.0,28.0,4,4,2025-07-09
12258.0,The Big Bike Film Night UK Ltd,Community,,1.95,33.0,2,1,2025-10-05
18335.0,Fleetville Swing Band,Music,,1.95,30.0,3,2,2026-03-19
17223.0,Queen's College Enterprise,Education,Independent School - Senior,1.95,30.0,3,2,2025-12-19
4762.0,Radlett Prep PTA,Education,PTA,1.95,30.0,3,3,2026-04-24
6695.0,Marshmallow Dreams Cafe,Business,Food/Drink,1.9,14.0,8,8,2026-04-04
18714.0,Ashburton Arts,Charity,,1.8,37.0,3,3,2026-03-07
19890.0,The lakes Farm,Community,,1.8,66.0,5,4,2026-04-24
15246.0,Jola Sings,Event Organiser,Music,1.73,25.5,3,2,2025-09-17
16676.0,Get Active Ston Easton,Community,CIC,1.7,25.0,3,1,2026-01-30
1445.0,Eastwood Collieries' Male Voice Choir,Music,Choir,1.7,16.0,6,6,2025-12-14
12386.0,Hounslow Symphony Orchestra,Music,,1.65,149.0,11,8,2025-11-15
4510.0,Windsor Learning Partnership Music Department,Education,Independent School - Senior,1.6,20.0,4,3,2026-04-17
17694.0,The Limes,Music,Venue,1.6,20.0,4,4,2025-10-31
14840.0,The Hayling College,Education,College,1.6,20.0,2,4,2025-07-28
14640.0,Cumbria Clothing Collective,Community,,1.6,23.0,3,2,2025-06-14
16647.0,Soroptimists Grange-over-Sands,Associations,,1.54,21.76,3,3,2026-04-16
14983.0,colinreamusic,Music,,1.5,24.0,4,4,2025-06-21
2212.0,Collavoce Collective,Music,Choir,1.5,24.0,2,2,2025-07-09
8756.0,Room At The Top @ The Arches,Tourism,Venue,1.5,21.0,3,2,2025-11-01
16330.0,Dartford Choral Society,Music,Choir,1.48,22.5,4,3,2025-11-15
753.0,Oakgrove School,Education,Independent School - Senior,1.45,8.0,4,6,2025-10-23
8455.0,Raeburn PTA,Education,PTA,1.43,17.0,5,7,2025-10-22
17309.0,CrossReach,Charity,,1.4,84.7,6,5,2025-12-05
18487.0,The Mrs Sunderland Music Festival,Festival,Music,1.4,25.0,1,1,2026-02-14
18909.0,Kailzie Gardens,Business,Food/Drink,1.38,35.0,5,4,2026-01-30
7340.0,Scotland's Gardens scheme,Associations,,1.35,18.0,3,2,2025-08-16
12264.0,Make It Happen,Education,PTA,1.3,20.0,2,2,2025-06-14
8813.0,KAOS Musical Theatre,Theatres,,1.3,20.0,2,2,2025-11-29
271.0,George Heriot's School,Education,Independent School - Senior,1.3,20.0,2,1,2026-02-22
8037.0,Glasgow Community Concert Band,Music,,1.3,20.0,2,2,2025-11-30
17557.0,Katie Wright,Event Organiser,Fundraiser,1.25,10.2,5,5,2025-12-05
4.0,Trybooking Marketing and Sales,Business,,1.25,35.0,4,6,2026-04-20
4212.0,The Beacon Museum,Tourism,Visitor Attraction,1.2,35.0,7,6,2026-05-12
19716.0,InterActive Dance Collective,Dance,,1.2,18.0,2,2,2026-05-18
11293.0,Sedbergh Booktown Literary Trust,Community,,1.15,20.0,1,1,2025-10-13
14263.0,Barns Green Players,Theatres,,1.1,16.0,1,3,2026-01-30
12359.0,The Minories,Business,Hospitality,1.05,146.0,7,7,2026-05-15
18168.0,Winchester Road Methodist Church,Community,Church,1.05,18.0,3,2,2026-01-03
16893.0,Ulverston Town Band,Community,Music,1.05,70.0,7,4,2025-10-11
12737.0,Inspiring Music,Council / Gov,,0.95,10.0,1,5,2025-07-11
4345.0,Compton Players,Theatres,AMDRAM,0.9,60.0,6,3,2026-04-24
12006.0,Sunshine Festival,Festival,,0.9,300.0,6,5,2025-06-20
2417.0,Friends of the Gordon,Education,PTA,0.85,12.5,4,4,2025-12-05
944.0,FIona Frank,Music,,0.85,43.0,3,3,2026-03-01
17616.0,Cardinal Heenan Catholic High School Performing Arts,Education,Independent School - Senior,0.8,10.0,2,2,2026-04-30
11685.0,The Cycling Music Teachers,Music,,0.8,10.0,2,1,2025-12-13
17777.0,Clwb Rygbi Bangor,Sporting Club,Rugby,0.8,13.0,2,2,2025-12-06
7289.0,Upper Dales Community Partnership t/a Little White Bus,Non Profit,,0.75,70.0,5,2,2025-10-01
17958.0,Champagne Glass Studio,Business,Workshop,0.75,0.0,0,2,2025-11-28
20268.0,Rainford Parish Church Amateur Dramatics Society,Theatres,AMDRAM,0.75,24.0,2,5,2026-05-19
17073.0,St Kenelms HSA,Education,PTA,0.75,27.5,5,1,2025-10-01
15564.0,Lyris for Women,Community,,0.75,12.0,1,1,2026-04-17
16084.0,Katana Squadron,Event Organiser,Club/Group,0.65,10.0,1,1,2025-08-16
11096.0,Southwick Revival,Festival,Historic,0.6,3.0,3,3,2025-06-02
11195.0,Park View School,Education,College,0.6,38.0,4,2,2025-07-11
16000.0,Chorley Silver Band,Music,,0.55,5.0,1,3,2026-05-04
16093.0,Enville Street Dramatic Society,Theatres,AMDRAM,0.45,0.0,0,2,2025-07-02
12676.0,SC Maxim Ltd,Business,,0.45,125.0,3,1,2025-11-26
14383.0,Leila Platt Events,Business,,0.4,5.0,1,1,2025-10-31
15161.0,SECAmb,Associations,NHS,0.4,2.0,2,1,2026-05-17
9932.0,Otley Cycle Club,Sporting Club,Cycling,0.4,5.0,1,1,2025-09-13
13485.0,Travis Pola-Carter,,,0.4,-1.0,-1,7,2026-04-29
13969.0,Lancaster Photographic Society,Community,Club/Group,0.4,5.0,1,1,2026-03-09
15796.0,Mrs R Keogh-Briggs,Business,Fair,0.33,3.65,1,1,2025-06-10
4859.0,Friends of Holy Family,Education,PTA,0.3,12.0,2,2,2025-12-06
20448.0,Donna Dickens Dance Academy,Dance,,0.3,0.0,0,2,2026-05-07
16468.0,Nigel Clarke,Community,Political,0.3,12.0,2,1,2025-08-07
19504.0,Lads - Wings of Hope,Community,Cultural,0.3,0.0,0,4,2026-02-20
14884.0,St Bartholomew wsa,Education,PTA,0.2,1.0,1,1,2025-05-30
19953.0,WCB,Business,,0.2,1.0,1,1,2026-04-08
18083.0,Lewisham Choral Society,Music,Choir,0.15,0.0,0,2,2026-05-18
17256.0,Winshill Village Primary and Nursery School PTFA,Education,PTA,0.15,0.0,0,2,2025-11-15
2621.0,Jules Postlethwaite TEST,,,0.15,3.0,1,1,2025-07-09
16303.0,CW Events - South Area Cumberland & Westmorland Freemasons,Charity,,0.15,0.0,0,2,2025-07-12
19781.0,TALKHUB CIC,Community,Health & Wellbeing,0.15,2.0,1,1,2026-03-12
1822.0,Merchant Taylors' School Northwood,Education,Independent School - Senior,0.15,5.0,1,1,2026-03-23
16851.0,Susie Tracey,,,0.15,5.0,1,1,2026-05-22
403.0,Channing School Drama Dept,Education,Independent School - Senior,0.15,25.0,1,1,2026-04-30
13473.0,Provincial Grand Chapter,Community,Social Club,0.15,39.5,1,1,2025-06-05
5448.0,SPRING INTO ACTION (MEET N MATCH),Charity,,0.15,0.0,0,2,2025-09-09
4779.0,For Mobile App Testing,Business,,0.15,0.0,0,2,2026-02-09
7587.0,Sheila D,Event Organiser,,0.15,5.0,1,1,2026-04-21
9599.0,Edmonton Islamic Centre,Community,Church,0.15,0.0,0,2,2025-08-30
17938.0,Norfolk Box Office,Theatres,,0.15,7.0,1,1,2025-11-02
18478.0,The Willink School and Sixth Form,Education,State School - Secondary,0.15,0.0,0,2,2026-01-29
14186.0,Mr D M Leadsom,Music,,0.15,0.0,0,2,2025-06-27
15224.0,Sewa Day,Community,Indian,0.15,200.0,1,1,2025-06-19
18756.0,TGAs Got Talent,Community,,0.15,2.0,1,1,2026-01-04
18747.0,BEES,Theatres,,0.15,16.0,1,1,2026-03-14
20638.0,Bletchley Radio,,,0.15,5.0,1,1,2026-05-19
13983.0,Oxclose Community Academy,Education,State School - Secondary,0.15,0.0,0,2,2025-06-27
14459.0,Zee Events UK Ltd,Business,Indian,0.0,-200.0,-4,4,2025-06-14
15167.0,Kimcote Church,Community,Church,-0.75,-15.0,-1,1,2025-06-03
